#UnitNo,PortNo,PositionX[m],PositionY[m],PositionZ[m],OffsetATT[dB],OffsetPhase[deg]
11,1,156.25,-343.75,0,0,-90
11,2,156.25,-281.25,0,0,0
11,3,156.25,-218.75,0,0,-90
11,4,156.25,-156.25,0,0,0
11,5,218.75,-156.25,0,0,-270
11,6,218.75,-218.75,0,0,-180
11,7,218.75,-281.25,0,0,-270
11,8,218.75,-343.75,0,0,-180
11,9,281.25,-343.75,0,0,-90
11,10,281.25,-281.25,0,0,0
11,11,281.25,-218.75,0,0,-90
11,12,281.25,-156.25,0,0,0
11,13,343.75,-156.25,0,0,-270
11,14,343.75,-218.75,0,0,-180
11,15,343.75,-281.25,0,0,-270
12,1,156.25,-93.75,0,0,-90
12,2,156.25,-31.25,0,0,0
12,3,156.25,31.25,0,0,-90
12,4,156.25,93.75,0,0,0
12,5,218.75,93.75,0,0,-270
12,6,218.75,31.25,0,0,-180
12,7,218.75,-31.25,0,0,-270
12,8,218.75,-93.75,0,0,-180
12,9,281.25,-93.75,0,0,-90
12,10,281.25,-31.25,0,0,0
12,11,281.25,31.25,0,0,-90
12,12,281.25,93.75,0,0,0
12,13,343.75,93.75,0,0,-270
12,14,343.75,31.25,0,0,-180
12,15,343.75,-31.25,0,0,-270
13,1,156.25,156.25,0,0,-90
13,2,156.25,218.75,0,0,0
13,3,156.25,281.25,0,0,-90
13,4,156.25,343.75,0,0,0
13,5,218.75,343.75,0,0,-270
13,6,218.75,281.25,0,0,-180
13,7,218.75,218.75,0,0,-270
13,8,218.75,156.25,0,0,-180
13,9,281.25,156.25,0,0,-90
13,10,281.25,218.75,0,0,0
13,11,281.25,281.25,0,0,-90
13,12,281.25,343.75,0,0,0
13,13,343.75,343.75,0,0,-270
13,14,343.75,281.25,0,0,-180
13,15,343.75,218.75,0,0,-270
21,1,-93.75,-156.25,0,0,0
21,2,-31.25,-156.25,0,0,-270
21,3,31.25,-156.25,0,0,0
21,4,93.75,-156.25,0,0,-270
21,5,93.75,-218.75,0,0,-180
21,6,31.25,-218.75,0,0,-90
21,7,-31.25,-218.75,0,0,-180
21,8,-93.75,-218.75,0,0,-90
21,9,-93.75,-281.25,0,0,0
21,10,-31.25,-281.25,0,0,-270
21,11,31.25,-281.25,0,0,0
21,12,93.75,-281.25,0,0,-270
21,13,93.75,-343.75,0,0,-180
21,14,31.25,-343.75,0,0,-90
21,15,-31.25,-343.75,0,0,-180
22,1,-93.75,93.75,0,0,0
22,2,-31.25,93.75,0,0,-270
22,3,31.25,93.75,0,0,0
22,4,93.75,93.75,0,0,-270
22,5,93.75,31.25,0,0,-180
22,6,31.25,31.25,0,0,-90
22,7,-31.25,31.25,0,0,-180
22,8,-93.75,31.25,0,0,-90
22,9,-93.75,-31.25,0,0,0
22,10,-31.25,-31.25,0,0,-270
22,11,31.25,-31.25,0,0,0
22,12,93.75,-31.25,0,0,-270
22,13,93.75,-93.75,0,0,-180
22,14,31.25,-93.75,0,0,-90
22,15,-31.25,-93.75,0,0,-180
23,1,-93.75,343.75,0,0,0
23,2,-31.25,343.75,0,0,-270
23,3,31.25,343.75,0,0,0
23,4,93.75,343.75,0,0,-270
23,5,93.75,281.25,0,0,-180
23,6,31.25,281.25,0,0,-90
23,7,-31.25,281.25,0,0,-180
23,8,-93.75,281.25,0,0,-90
23,9,-93.75,218.75,0,0,0
23,10,-31.25,218.75,0,0,-270
23,11,31.25,218.75,0,0,0
23,12,93.75,218.75,0,0,-270
23,13,93.75,156.25,0,0,-180
23,14,31.25,156.25,0,0,-90
23,15,-31.25,156.25,0,0,-180
31,1,-343.75,-156.25,0,0,0
31,2,-281.25,-156.25,0,0,-270
31,3,-218.75,-156.25,0,0,0
31,4,-156.25,-156.25,0,0,-270
31,5,-156.25,-218.75,0,0,-180
31,6,-218.75,-218.75,0,0,-90
31,7,-281.25,-218.75,0,0,-180
31,8,-343.75,-218.75,0,0,-90
31,9,-343.75,-281.25,0,0,0
31,10,-281.25,-281.25,0,0,-270
31,11,-218.75,-281.25,0,0,0
31,12,-156.25,-281.25,0,0,-270
31,13,-156.25,-343.75,0,0,-180
31,14,-218.75,-343.75,0,0,-90
31,15,-281.25,-343.75,0,0,-180
32,1,-343.75,93.75,0,0,0
32,2,-281.25,93.75,0,0,-270
32,3,-218.75,93.75,0,0,0
32,4,-156.25,93.75,0,0,-270
32,5,-156.25,31.25,0,0,-180
32,6,-218.75,31.25,0,0,-90
32,7,-281.25,31.25,0,0,-180
32,8,-343.75,31.25,0,0,-90
32,9,-343.75,-31.25,0,0,0
32,10,-281.25,-31.25,0,0,-270
32,11,-218.75,-31.25,0,0,0
32,12,-156.25,-31.25,0,0,-270
32,13,-156.25,-93.75,0,0,-180
32,14,-218.75,-93.75,0,0,-90
32,15,-281.25,-93.75,0,0,-180
33,1,-343.75,343.75,0,0,0
33,2,-281.25,343.75,0,0,-270
33,3,-218.75,343.75,0,0,0
33,4,-156.25,343.75,0,0,-270
33,5,-156.25,281.25,0,0,-180
33,6,-218.75,281.25,0,0,-90
33,7,-281.25,281.25,0,0,-180
33,8,-343.75,281.25,0,0,-90
33,9,-343.75,218.75,0,0,0
33,10,-281.25,218.75,0,0,-270
33,11,-218.75,218.75,0,0,0
33,12,-156.25,218.75,0,0,-270
33,13,-156.25,156.25,0,0,-180
33,14,-218.75,156.25,0,0,-90
33,15,-281.25,156.25,0,0,-180
